"sampleID"	"preTrim"	"postTrim"	"mapped"
"1"	"01-01_S431_L007_R1_001"	2084390	1849788	1294168
"2"	"01-04_S433_L007_R1_001"	2040851	1726303	1085331
"3"	"01-05_S434_L007_R1_001"	2114565	1796963	1347606
"4"	"01-06_S435_L007_R1_001"	2150498	1808814	1385560
"5"	"01-07_S438_L007_R1_001"	1537940	1442164	1177278
"6"	"01-11_S437_L007_R1_001"	1521035	1368978	994230
"7"	"01-12_S446_L007_R1_001"	1687057	1549653	1167010
"8"	"01-14_S242_L006_R1_001"	3059689	2838488	2525294
"9"	"01-15_S478_L007_R1_001"	1218516	1116524	899961
"10"	"01-16_S448_L007_R1_001"	1941696	1751432	1290171
"11"	"01-18_S442_L007_R1_001"	2201185	1936535	1477891
"12"	"01-20_S480_L007_R1_001"	1619870	1356831	1018504
"13"	"01-23_S451_L007_R1_001"	2067168	1854635	1442337
"14"	"01-25_S458_L007_R1_001"	1435820	1322847	1086038
"15"	"01-29_S489_L007_R1_001"	2467190	2226153	1722459
"16"	"01-30_S486_L007_R1_001"	2316946	2172567	1736611
"17"	"01-32_S494_L007_R1_001"	2636103	2457378	1872217
"18"	"01-33_S479_L007_R1_001"	1964759	1698454	1261612
"19"	"01-35_S466_L007_R1_001"	1768886	1573216	1236673
"20"	"01-38_S500_L007_R1_001"	2593339	2389490	1886708
"21"	"01-39_S490_L007_R1_001"	2483357	2215068	1540705
"22"	"01-40_S487_L007_R1_001"	3135074	2918594	2242879
"23"	"01-50_S461_L007_R1_001"	1438583	1324245	1006471
"24"	"01-54_S456_L007_R1_001"	1229105	1137494	923894
"25"	"01-55_S463_L007_R1_001"	1455624	1347379	1090605
"26"	"02-05_S430_L007_R1_001"	1516410	1405098	1077738
"27"	"02-07_S454_L007_R1_001"	1415327	1324620	1018625
"28"	"02-16_S436_L007_R1_001"	1986031	1701047	1352464
"29"	"03-06_S275_L005_R1_001"	1950235	1730377	1244859
"30"	"03-09_S274_L005_R1_001"	1864999	1697916	1245432
"31"	"03-19_S286_L005_R1_001"	1543001	1411299	1008843
"32"	"03-20_S287_L005_R1_001"	1981055	1756123	1118057
"33"	"03-22_S281_L005_R1_001"	1946937	1621745	1172702
"34"	"03-23_S283_L005_R1_001"	1778387	1510251	1102038
"35"	"03-24_S282_L005_R1_001"	1728657	1517336	858733
"36"	"03-32_S288_L005_R1_001"	1900828	1638696	1318640
"37"	"03-35_S285_L005_R1_001"	1357554	1245235	1038538
"38"	"04-01_S462_L007_R1_001"	1205694	1120578	803271
"39"	"04-05_S284_L005_R1_001"	1709985	1542623	1221741
"40"	"04-07_S290_L005_R1_001"	1583460	1441842	1108004
"41"	"04-18_S472_L007_R1_001"	1521954	1336228	987132
"42"	"04-25_S469_L007_R1_001"	1298391	1217255	973329
